sorted,word,full text,candidates
"(discouraging_E, discourage_E)",discouraging,"""tending to dishearten,"" 1670s, present-participle adjective from discourage. Related: Discouragingly.","discourage,Discouragingly"
"(dampen_E, damp (adj.)_E, -en (1)_E)",dampen,"1630s, ""to dull or deaden, make weak"" (force, enthusiasm, ardor, etc.), from damp (adj.) + -en (1). Meaning ""to moisten, make humid"" is recorded from 1827. Related: Dampened; dampening.","damp,-en,Dampened,dampening"
"(derivation_E, derivacioun_E);(derivacioun_E, dérivation_OF);(dérivation_OF, derivationem_L)",derivation,"early 15c., derivacioun, originally in a now-obsolete sense in medicine, ""a drawing off or away, a turning aside,"" from Old French dérivation (14c.) and directly from Latin derivationem (nominative derivatio) ""a leading off, turning away,"" also ""derivation of a word, etymology,"" noun of action from past-participle stem of derivare ""to lead or draw off"" (see derive).
Grammatical sense, ""drawing or tracing of a word in its development or formation from its more original root or stem, a statement of the origin or history of a word"" in English is from mid-15c. The general meaning ""origination, descent"" is from c. 1600; that of ""act or fact of drawing or receiving from a source"" is from 1650s.","derivacioun,dérivation,derivationem,derivatio,derivare,derive"
"(defacement_E, deface_E, -ment_E)",defacement,"""act or fact of defacing,"" 1560s, from deface + -ment.","deface,-ment"
"(depreciate_E, depretiatus_L);(depretiatus_L, depretiare_L);(depretiare_L, de_L pretium_L)",depreciate,"mid-15c., ""to undervalue, under-rate,"" from Latin depretiatus, past participle of depretiare ""to lower the price of, undervalue,"" from de ""down"" (see de-) + pretium ""price"" (see price (n.)). From 1640s in transitive sense of ""lessen the value of, to lower in value."" Intransitive sense of ""to fall in value, become of less worth"" is from 1790. Related: Depreciated; depreciating.","depretiatus,depretiare,de,de-,pretium,price,Depreciated,depreciating"
"(dicer_E, dice (v.)_E)",dicer,"c. 1400, ""one who plays at dice,"" agent noun from dice (v.) in the gaming sense. Meaning ""machine or device that dices food"" is by 1917.",dice
"(demonstrator_E, demonstrate_E)",demonstrator,"1610s, ""one who points out or proves,"" agent noun in Latin form from demonstrate. From 1680s as ""one who uses specimens or experiments as a method of teaching;"" 1870 as ""one who participates in public demonstrations.""",demonstrate
"(deregister_E, de-_LateLE, register_E)",deregister,"""remove from a register,"" 1917, from de- + register. Related: Deregistered; deregistering.","de-,register,Deregistered; deregistering"
"(deaf_E, deaf_OE);(deaf_OE, *daubaz_PGer);(*daubaz_PGer, dheubh-_PIE)",deaf,"Old English deaf ""lacking the sense of hearing,"" also ""empty, barren,"" from Proto-Germanic *daubaz (source also of Old Saxon dof, Old Norse daufr, Old Frisian daf, Dutch doof ""deaf,"" German taub, Gothic daufs ""deaf, insensate""), from PIE dheubh-, which was used to form words meaning ""confusion, stupefaction, dizziness"" (source also of Greek typhlos ""blind,"" typhein ""to make smoke;"" Old English dumb ""unable to speak;"" Old High German tumb).
The word was pronounced to rhyme with reef until 18c. Meaning ""refusing to listen or hear"" is from c. 1200. As a noun, ""deaf persons,"" from c. 1200. Deaf-mute is from 1837, after French sourd-muet. Deaf-mutes were sought after in 18c.-19c. Britain as fortune-tellers. Deaf as an adder (Old English) is from Psalms lviii.5.","deaf,*daubaz,dof,daufr,daf,doof,taub,daufs,dheubh-,typhlos,typhein,dumb,tumb,reef,Deaf-mute,sourd-muet,Deaf as an adder"
"(drawn_E, draw (v.)_E)",drawn,"c. 1200, from Old English dragen, past participle of draw (v.).","dragen,draw"
"(Dagon_E, Dagon_H);(Dagon_H, dag_H)",Dagon,"god of the Philistines, represented as having the upper body of a man and the lower part of a fish, late 14c. (Judges xvi.23), from Hebrew Dagon, from dag ""fish.""","Dagon,dag"
"(dagger_E, dague_OF);(dague_OF, daga_OPro);(daga_OPro, *daca_VL)",dagger,"""edged or pointed weapon for thrusting, shorter than a sword,"" late 14c. (mid-14c. in Anglo-Latin), apparently related to Old French dague ""dagger,"" from Old Provençal or Italian daga, which are of uncertain origin; perhaps from Celtic, perhaps from Vulgar Latin *daca ""Dacian knife,"" from the Roman province (see Dacian). The ending is possibly the faintly pejorative -ard suffix.
Attested earlier (1279) as a surname (Dagard, presumably ""one who carried a dagger""). Also compare dogwood. Middle Dutch dagge, Danish daggert, German Degen also are from French. By 16c.-17c. swordsmen held it in the left hand to parry thrusts from the opponent's rapier. As ""a reference mark in the form of a dagger,"" by 1706.","dague,daga,*daca,Dacian,-ard,Dagard,dogwood,dagge,daggert,Degen"
"(digitalis_E, fingerhut_Ger)",digitalis,"species of tall herbs native to Europe and western Asia, 1660s, a Modern Latin translation of German fingerhut, the German name of the plant, a transferred use of the German word for ""thimble,"" literally ""finger-hat,"" the plant so called for the bell-shape of the flowers. Compare the English name, foxglove. The Latin name was given by Fuchs (1542). The medicine (originally extracted from the plant) is so called from 1799.","fingerhut,foxglove"
"(detest_E, détester_F);(détester_F, detestari_L);(detestari_L, de_L testari_L);(testari_L, testis_L)",detest,"1530s, ""execrate, hate, dislike intensely,"" also ""to curse, to call God to witness and abhor,"" from Middle French détester, from Latin detestari ""to curse, execrate, abominate, express abhorrence for,"" literally ""denounce with one's testimony,"" from de ""from, down"" (see de-) + testari ""be a witness,"" from testis ""witness"" (see testament). Related: Detested; detesting.","détester,detestari,de,de-,testari,testis,testament,Detested,detesting"
"(deterioration_E, détérioration_F);(détérioration_F, détériorer_F);(détériorer_F, deteriorare_LateL)",deterioration,"""a growing or making worse,"" 1650s, possibly a native formation, or else from French détérioration (15c.), noun of action from détériorer, from Late Latin deteriorare ""get worse; make worse"" (see deteriorate).","détérioration,détériorer,deteriorare,deteriorate"
"(deva_E, deva_San);(deva_San, *div-_San);(*div-_San, *dyeu-_PIE)",deva,"""god, divinity, good spirit"" in Hindu religion, 1819, from Sanskrit deva ""a god"" (as opposed to asuras ""wicked spirits""), etymologically ""a shining one,"" from *div- ""to shine,"" thus cognate with Greek dios ""divine"" and Zeus, and Latin deus ""god"" (Old Latin deivos), from PIE root *dyeu- ""to shine,"" in derivatives ""sky, heaven, god.""
Fem. form devi is used for ""goddess,"" also (with capital D-) for the mother goddess in Hinduism. Hence, also, devadasi ""temple dancing girl,"" literally ""female servant of a god,"" from dasi ""slave girl."" Also Devanagari, the formal alphabet of Sanskrit writings (1781), which is literally ""divine city (script),"" from nagara ""city,"" but which is perhaps short for nagari lipi ""town writing.""","deva,asuras,*div-,dios,Zeus,deus,deivos,*dyeu-,devi,D-,devadasi,dasi,Devanagari,nagara,nagari lipi"
"(decrepit_E, decrepit_OF);(decrepit_OF, decrepitus_L);(decrepitus_L, de_L *crepitus_L);(*crepitus_L, crepare_L)",decrepit,"""broken down in health, weakened, especially by age,"" mid-15c., from Old French decrepit (15c., Modern French décrépit), from Latin decrepitus ""very old, infirm"" (of old men and old animals), from de ""down"" (see de-) + *crepitus, past participle of crepare ""to crack, break"" (see raven). The literal sense of the Latin word is uncertain. Related: Decrepitly.","decrepit,décrépit,decrepitus,de,de-,*crepitus,crepare,raven,Decrepitly"
"(diverse_E, divers_E)",diverse,"""different in kind, not alike, essentially different,"" late 14c., a specialized use of divers (q.v.), in some cases probably directly from Latin diversus ""turned different ways."" In Middle English it also could mean ""disagreeable, unkind, hostile"" (mid-14c.). The differentiation in spelling (perhaps by analogy with converse, traverse, etc.) and meaning prevailed after c. 1700. The sense of ""including and promoting persons of previously under-represented minority identities"" is from 1990s. Related: Diversely.","divers,diversus,converse, traverse,Diversely"
"(dewfall_E, dew_E, fall (n.)_E)",dewfall,"1620s, ""the falling of the dew,"" from dew + fall (n.); hence ""early evening,"" the time when the dew begins to fall.","dew,fall"
"(discount (n.)_E, descompte_F);(descompte_F, discomputus_L);(discomputus_L, discomputare_LateLL);(discomputare_LateLL, dis-_LL, computare_LateLL)",discount (n.),"1620s, ""abatement"" (a sense now obsolete), alteration of Middle French descompte (16c., Modern French décompte), from Medieval Latin discomputus (source of Italian disconto), from discomputare, from dis- (see dis-) + computare ""to count"" (see compute). Commercial meaning ""deduction for early or prompt payment"" is from 1680s; meaning ""a reduction in the price of goods"" attested by 1837.","descompte,décompte,discomputus,disconto,discomputare,dis-,dis-,computare,compute"
"(discount (v.)_E, desconter_OF);(desconter_OF, discomputare_LateLMediL);(discomputare_LateLMediL, dis-_LL, computare_LateLL)",discount (v.),"1620s, ""reckon as an abatement or deduction"" (a sense now obsolete), from Old French desconter ""reckon off, account back"" (13c., Modern French décompter), from Medieval Latin discomputare, from dis- ""away, from"" (see dis-) + computare ""to reckon, to count"" (see compute). Hence, ""to abate, deduct"" (1650s), and figurative sense ""to leave out of account, disregard"" (1702). Formerly also discompt. Commercial sense of ""make a deduction from, put a reduced price upon"" is by 1977. Related: Discounted; discounting.","desconter,décompter,discomputare,dis-,dis-,computare,compute,discompt,Discounted,discounting"
"(dreamless_E, dream (n.)_E, -less_E)",dreamless,"c. 1600, from dream (n.) + -less. Old English dreamleas meant ""joyless."" Related: Dreamlessly; dreamlessness.","dream,-less,dreamleas,Dreamlessly,dreamlessness"
"(dumps_E, dumpe_E);(dumpe_E, domp_Dut);(domp_Dut, damp_Dut)",dumps,"""low spirits,"" 1520s, plural of dumpe ""a fit of musing,"" possibly from Dutch domp ""haze, mist,"" from Middle Dutch damp ""vapor"" (see damp (n.)).","dumpe,domp,damp,damp"
"(defrock_E, défroquer_F);(défroquer_F, de-_LateLF, froque_F)",defrock,"1580s, ""deprive of priestly garb,"" from French défroquer (15c.), from de- (see de-) + froque ""frock"" (see frock). Related: Defrocked. A Modern English verb frock ""supply with a frock"" is attested only from 1828 and probably is a back-formation from this.","défroquer,de-,de-,froque,frock,Defrocked,frock"
(dalek_E),dalek,"robot in the ""Dr. Who"" television program on BBC, 1963, an invented word of no etymology.",
"(dreadlocks_E, dread_E, lock (n.2)_E)",dreadlocks,"1960, from dread + locks (see lock (n.2)). The style supposedly based on that of East African warriors. So called from the dread they presumably aroused in beholders, but Rastafarian dread (1974) also has a sense of ""fear of the Lord,"" expressed in part as alienation from contemporary society.","dread,locks,lock,dread"
"(duffle_E, duffel_Dut);(duffel_Dut, Duffel_Dut)",duffle,"1670s, from Dutch duffel, from Duffel, town in Brabant where the cloth was originally sold. Duffel bag is American English, 1915.","duffel,Duffel,Duffel bag"
"(delftware_E, Delft_E, ware (n.)_E)",delftware,"1714, from Delft, town in Holland where the glazed earthenware was made, + ware (n.).","Delft,ware"
"(day_E, dæg_OE);(dæg_OE, *dages-_PGer);(*dages-_PGer, *agh-_PIE)",day,"Old English dæg ""period during which the sun is above the horizon,"" also ""lifetime, definite time of existence,"" from Proto-Germanic *dages- ""day"" (source also of Old Saxon, Middle Dutch, Dutch dag, Old Frisian di, dei, Old High German tag, German Tag, Old Norse dagr, Gothic dags), according to Watkins, from PIE root *agh- ""a day.""  He adds that the Germanic initial d- is ""of obscure origin."" But Boutkan says it is from PIE root *dhegh- ""to burn"" (see fever). Not considered to be related to Latin dies (which is from PIE root *dyeu- ""to shine"").
Meaning originally, in English, ""the daylight hours;"" it expanded to mean ""the 24-hour period"" in late Anglo-Saxon times. The day formerly began at sunset, hence Old English Wodnesniht was what we would call ""Tuesday night."" Names of the weekdays were not regularly capitalized in English until 17c.
From late 12c. as ""a time period as distinguished from other time periods."" Day-by-day ""daily"" is from late 14c.; all day ""all the time"" is from late 14c.  Day off ""day away from work"" is attested from 1883; day-tripper first recorded 1897. The days in nowadays, etc. is a relic of the Old English and Middle English use of the adverbial genitive.
All in a day's work ""something unusual taken as routine"" is by 1820. The nostalgic those were the days is attested by 1907. That'll be the day, expressing mild doubt following some boast or claim, is by 1941. Tocall it a day ""stop working"" is by 1919; earlier call it a half-day (1838). One of these days ""at some day in the near future"" is from late 15c. One of those days ""a day of misfortune"" is by 1936.","dæg,*dages-,dag,di, dei,tag,Tag,dagr,dags,*agh-,d-,*dhegh-,fever,dies,*dyeu-,Wodnesniht,Day-by-day,all day,Day off,day-tripper,days,nowadays,All in a day's work,those were the days,That'll be the day,call it a day,call it a half-day,One of these days,One of those days"
"(dynamo_E, dynamo-machine_E);(dynamo-machine_E, dynamoelektrischemaschine_Ger);(dynamoelektrischemaschine_Ger, dynamis_G)",dynamo,"1882, short for dynamo-machine, from German dynamoelektrischemaschine ""dynamo-electric machine,"" coined 1867 by its inventor, German electrical engineer Werner Siemans (1816-1892), from Greek dynamis ""power.""","dynamo-machine,dynamoelektrischemaschine,dynamis"
"(disarray (v.)_E, dis-_LE, array (v.)_E)",disarray (v.),"late 14c., ""break up military formation;"" early 15c. in general sense ""throw out of arrangement or into disorder;"" see dis- ""reverse of"" + array (v.) ""put in order, arrange."" Perhaps formed on the analogy of Old French desareer. Related: Disarrayed.","dis-,array,desareer,Disarrayed"
"(disarray (n.)_E, dis-_LE, array (n.)_E)",disarray (n.),"late 14c., ""disorder, confusion, condition of being out of regular order,"" from dis- ""opposite of"" + array (n.) ""order, arrangement, sequence,"" or perhaps from Old French desarroi.","dis-,array,desarroi"
"(drip (v.)_E, drippe_Dan);(drippe_Dan, *drup-_PGer);(*drup-_PGer, *dhreu-_PIE)",drip (v.),"c. 1300, perhaps from Middle Danish drippe, from Proto-Germanic *drup- (source also of Dutch druipen, German triefen), from PIE root *dhreu-. Related to droop and drop. Old English had cognate drypan ""to let drop,"" dropian ""fall in drops,"" and dreopan ""to drop."" Related: Dripped; dripping.","drippe,*drup-,druipen,triefen,*dhreu-,droop,drop,drypan,dropian,dreopan,Dripped,dripping"
"(drip (n.)_E, drip (v.)_E)",drip (n.),"mid-15c., from drip (v.). The slang meaning ""stupid, feeble, or dull person"" is first recorded 1932, perhaps from earlier American English slang sense ""nonsense"" (1919).",drip
"(diastole_E, diastole_L);(diastole_L, diastole_G);(diastole_G, diastellein_G);(diastellein_G, dia_G, stellein_G);(stellein_G, *stel-yo-_PIE);(*stel-yo-_PIE, *stel-_PIEPIE)",diastole,"""normal rhythmic relaxation of the heart"" (alternating with the systole), 1570s, from medical Latin diastole, from Greek diastole ""drawing asunder, dilation,"" from diastellein, from dia ""through; thoroughly, entirely"" (see dia-) + stellein ""to set in order, arrange, array, equip, make ready,"" from PIE *stel-yo-, suffixed form of root *stel- ""to put, stand, put in order,"" with derivatives referring to a standing object or place. Related: Diastolic.","diastole,diastole,diastellein,dia,dia-,stellein,*stel-yo-,*stel-,Diastolic"
"(Dominic_E, dominicus_L)",Dominic,"masc. proper name, from Latin dominicus ""pertaining to a lord"" (see demesne).","dominicus,demesne"
"(dust bowl_E, dust (n.)_E, bowl (n.1)_E)",dust bowl,"also dustbowl, ""drought-plagued region of the U.S. Midwest,"" 1936, from dust (n.) + bowl (n.1).","dustbowl,dust,bowl"
"(dome_E, dome_F);(dome_F, doma_Pro);(doma_Pro, doma_G);(doma_G, domos_G);(domos_G, *dem-_PIE)",dome,"""round, vaulted roof,"" 1650s, from French dome (16c.), from Provençal doma, from Greek doma ""house, housetop"" (especially a style of roof from the east), related to domos ""house,"" from PIE root *dem- ""house, household.""

In the Middle Ages, German dom and Italian duomo were used for ""cathedral"" (on the notion of ""God's house""), so English began to use this word in the sense ""cupola,"" an architectural feature characteristic of Italian cathedrals. Used in U.S. also with reference to round summits of mountains.","dome,doma,doma,domos,*dem-,dom,duomo"
"(disrobe_E, dis-_LE, robe_E)",disrobe,"""to undress (oneself);"" also, transitive, ""divest of a robe or garments, denude;"" 1580s; see dis- + robe. Perhaps from or based on Old French desrober (Modern French dérober). Related: Disrobed; disrobing.","dis-,robe,desrober,dérober,Disrobed,disrobing"
"(dote_e, doten_LG/doten_Dut)",dote,"c. 1200, ""behave irrationally, do foolish things, be silly or deranged,"" also ""be feeble-minded from age,"" probably from an unrecorded Old English word akin to Middle Low German and Middle Dutch doten ""be foolish, be out of one's mind,"" which is of unknown origin. Also in Middle English ""to decay, deteriorate,"" in reference to rotten timber, etc. (mid-15c.). There was a noun dote ""fool, simpleton, senile man"" (mid-12c.), but Middle English Dictionary considers this to be from the verb. Related: Doted; dotes; doting.","doten,dote,Doted,dotes,doting"
"(dernier_E, dernier_F);(dernier_F, *deretranacius_MediL);(*deretranacius_MediL, de_L retro_L)",dernier,"""last, final,"" c. 1600, from French dernier, which is formed as if from Medieval Latin *deretranacius, from de ""down"" (see de-) + Latin retro ""back"" (see retro-).","dernier,*deretranacius,de,de-,retro-"
"(Dalmatian_E, Dalmatia_E)",Dalmatian,"1670s, ""of or pertaining to Dalmatia"" (q.v.); as a noun, 1580s, ""inhabitant of Dalmatia.""
The breed of spotted dogs so called from 1893, short for Dalmatian dog (1810), presumably named for Dalmatia, but dog breeders argue over whether there is a Croatian ancestry for the breed, which seems to be represented in Egyptian bas-reliefs and Hellenic friezes. They were popular in early 1800s as carriage dogs, trotting alongside carriages and guarding the vehicles in owner's absence (the alternative name coach-dog is attested from 1792). Even fire departments nowadays tend to spell it *Dalmation.
THE use to which this beautiful and shewy breed is applied, being so universally known both in Town and Country, needs a bare mention: how long it has been the fashion to keep these dogs, as attendants of the Coach Horse Stable, and as precursors to the Carriage, as if to clear the way and announce its approach, does not appear in our common books of reference on the subject; but the practice may probably be a century or two old, and was doubtless derived from Continental usage. [""The Sportsman's Repository,"" London, 1831]","Dalmatia,Dalmatian dog,coach-dog,*Dalmation"
"(deepness_E, deep (adj.)_E, -ness_E)",deepness,"Old English deopnes ""deep water,"" also ""a mystery or secret;"" see deep (adj.) + -ness. From late 12c. as ""distance downward;"" c. 1200 as ""wisdom, profundity.""","deopnes,deep,-ness"
"(detective_E, detect_E, -ive_E)",detective,"""one whose occupation is to investigate matters as to which information is desired, especially concerning wrong-doers, and to obtain evidence against them,"" 1828, short for detective police, from detective (adj.) ""fitted for or skilled in detecting"" (by 1828); see detect + -ive.
His duties differ from those of the ordinary policeman in that he has no specific beat or round, and in that he is concerned with the investigation of specific cases, or the watching of particular individuals or classes of offenders, rather than with the general guardianship of the peace, and does not wear a distinguishing uniform. [Century Dictionary, 1897]","detective police,detective,detect,-ive"
"(Des Moines_E, Rivière des Moines_F);(Rivière des Moines_F, des moines_F)",Des Moines,"city in Iowa, U.S., named for French Rivière des Moines, the river that flows past it, which traditionally is derived from French des moines ""of the monks,"" in reference to missionaries, but this probably is a fur trappers' folk-etymologizing of a name of the native people who lived there.
The place appears in a 1673 text as Moinguena, and historians believe this represents Miami-Illinois mooyiinkweena, literally ""shitface,"" from mooy ""excrement"" + iinkwee ""face;"" a name given by the Peoria tribe (whose name has itself become a sort of insult) to their western neighbors. It is not unusual for Native American peoples to have had hostile or derogatory names for others, but this seems an extreme case.","Rivière des Moines,des moines,Moinguena,mooyiinkweena,mooy,iinkwee,Peoria"
"(desideratum_E, desiderata_href)",desideratum,"""something lacking,"" see desiderata.",desiderata
"(deception_E, decepcioun_E);(decepcioun_E, déception_OF/deceptionem_LateL);(déception_OF/deceptionem_LateL, decipere_L);(decipere_L, de_L capere_LL);(capere_LL, *kap-_LPIE)",deception,"early 15c., decepcioun, ""act of misleading, a lie, a falsehood,"" from Old French déception (13c., decepcion) or directly from Late Latin deceptionem (nominative deceptio) ""a deceiving,"" noun of state or action from past-participle stem of Latin decipere ""to ensnare, take in, beguile, cheat,"" from de ""from"" or pejorative (see de-) + capere ""to take,"" from PIE root *kap- ""to grasp.""
From mid-15c. as ""state of being deceived; error, mistake;"" from 1794 as ""artifice, cheat, that which deceives.""","decepcioun,déception,decepcion,deceptionem,deceptio,decipere,de,de-,capere,*kap-"
"(dolorous_E, doloros_OF);(doloros_OF, dolorosus_LateL);(dolorosus_LateL, dolor_L)",dolorous,"c. 1400, ""causing pain,"" from Old French doloros (12c., Modern French douloureux) ""painful, sorrowful, wretched,"" from Late Latin dolorosus ""painful, sorrowful,"" from Latin dolor ""pain, grief."" Sense of ""causing grief"" is from mid-15c.; that of ""full of sorrow"" is from 1510s. Related: Dolorously; dolorousness.","doloros,douloureux,dolorosus,dolor,Dolorously,dolorousness"
"(dedicate_E, dedicatus_L);(dedicatus_warning, dedicare_L);(dedicare_L, de_L dicare_L);(dicare_L, *deik-_PIEIEPIE)",dedicate,"early 15c. (of church buildings) ""set apart and consecrate to a deity or a sacred purpose,"" from Latin dedicatus, past participle of dedicare ""consecrate, proclaim, affirm, set apart,"" from de ""away"" (see de-) + dicare ""proclaim"" (from PIE root *deik- ""to show,"" also ""pronounce solemnly"").
General sense of ""devote with solemnity or earnest purpose"" is from 1550s. Meaning ""ascribe or address (a literary or musical composition) to someone or something"" is from 1540s. Related: Dedicated; dedicating.","dedicatus,dedicare,de,de-,dicare,*deik-,Dedicated,dedicating"
"(distract_E, distracten_E);(distracten_E, distractus_L);(distractus_L, distrahere_L);(distrahere_L, dis-_LL, trahere_L)",distract,"late 14c., distracten, ""to turn or draw (a person, the mind) aside or away from any object; divert (the attention) from any point toward another point,"" from Latin distractus, past participle of distrahere ""draw in different directions,"" from dis- ""away"" (see dis-) + trahere ""to draw"" (see tract (n.1)).
Sense of ""to throw into a state of mind in which one knows not how to act, cause distraction in, confuse by diverse or opposing considerations"" is from 1580s. Also formerly sometimes in a stronger sense, ""disorder the reason of, render frantic or mad"" (1590s). Literal senses of ""pull apart in different directions and separate; cut into parts or sections"" are from late 16c. but are rare or obsolete in English. Related: Distracted; distracting.","distracten,distractus,distrahere,dis-,dis-,trahere,tract,Distracted,distracting"
"(decrepitude_E, décrépitude_F);(décrépitude_F, decrepitus_L);(decrepitus_L, de_L *crepitus_L);(*crepitus_L, crepare_L)",decrepitude,"""state of being broken down by infirmities,"" c. 1600, from French décrépitude (14c.), from Latin decrepitus ""very old, infirm,"" from de ""down"" (see de-) + *crepitus, past participle of crepare ""to crack, break"" (see raven).","décrépitude,decrepitus,de,de-,*crepitus,crepare,raven"
(dingle_E),dingle,"""deep dell or secluded hollow, usually wooded,"" c. 1200, of unknown origin; a dialectal word until it entered literary use 17c. Middle English Dictionary compares Old English ding ""dungeon,"" Old High German tunc ""cellar,"" Old Norse dyngja ""lady's bower.""","ding,tunc,dyngja"
"(Deimos_E, deimos_G/Deimos_G);(deimos_G, *duei-_PIE)",Deimos,"satellite of Mars, discovered in 1877, named for Greek deimos, literally ""fear, terror,"" also, as Deimos, the personification of such, regarded as a son of Ares, twin brother of Phobos""fear, panic, flight"" (for which see phobia). Greek deimos is from PIE *duei- ""fear,"" source also of Sanskrit dvesti ""hate,"" Avestan duuaetha ""threat,"" and possibly Latin dirus ""fearful.""","deimos,Deimos,Phobos,phobia,deimos,*duei-,dvesti,duuaetha,dirus"
"(disaffection_E, dis-_LE, affection_E)",disaffection,"""alienation of affection, attachment, or good will; estrangement,"" especially ""disloyalty to a government or existing authority,"" c. 1600; see dis- + affection. Perhaps from or based on French désaffection.","dis-,affection,désaffection"
"(dietetic_E, diaeteticus_L);(diaeteticus_L, diaitetikos_G);(diaitetikos_G, diaita_G)",dietetic,"""pertaining to the rules for regulating the kind and quantity of food taken,"" 1570s, from Latin diaeteticus, from Greek diaitetikos ""of or pertaining to diet,"" from diaita ""way of life, regiment"" (see diet (n.1)). Related: Dietical (1610s).","diaeteticus,diaitetikos,diaita,diet,Dietical"
"(Dexedrine_E, dextro-_E, Benzedrine_href)",Dexedrine,"1942, trademark (Smith, Kline and French Laboratories) for dexamphetamine sulphate, probably from dextro- + chemical ending from Benzedrine, etc.","dextro-,Benzedrine"
"(duet_E, duet_F);(duet_F, duetto_I);(duetto_I, duo_I);(duo_I, *dwo-_PIEPIE)",duet,"1740, from French duet, from Italian duetto ""short musical composition for two voices,"" diminutive of duo ""two"" (from PIE root *dwo- ""two""). As a verb, from 1822. The Italian form of the noun was used in English from c. 1724.","duet,duetto,duo,*dwo-"
"(detachment_E, détachement_F);(détachement_F, détacher_F)",detachment,"1660s, ""action of detaching or disconnecting,"" from French détachement (17c.), from détacher (see detach). Meaning ""that which is detached,"" especially ""portion of a military force detailed for special service or purpose"" is from 1670s. Sense of ""spiritual separation from the world, aloofness from objects or circumstances"" is from 1798.","détachement,détacher,detach"
"(dissatisfy_E, dis-_LE, satisfy_E)",dissatisfy,"""render discontented, fall short of one's wishes or expectations,"" 1660s; see dis- + satisfy. Related: Dissatisfied; dissatisfying.","dis-,satisfy,Dissatisfied,dissatisfying"
"(diction_E, dictionem_LateL);(dictionem_LateL, dicere_L);(dicere_L, dicare_L);(dicare_L, *deik-_PIEIEPIE)",diction,"1540s, ""a word,"" a sense now obsolete, from Late Latin dictionem (nominative dictio) ""a saying, expression; a word; kind of delivery, style,"" noun of action from past-participle stem of Latin dicere ""speak, tell, say"" (source of French dire ""to say""), which is related to dicare ""proclaim, dedicate,"" from PIE root *deik- ""to show,"" also ""pronounce solemnly."" Meaning ""manner of saying,"" especially in reference to the choice of words, is from 1700.","dictionem,dictio,dicere,dire,dicare,*deik-"
"(doorbell_E, door_E, bell (n.)_E)",doorbell,"c. 1815, from door + bell (n.).","door,bell"
"(deeply_E, deep (adj.)_E, -ly (2)_E)",deeply,"Old English deoplice ""at or to a great depth,"" used in both literal and figurative senses; see deep (adj.) + -ly (2). Meaning ""profoundly, thoroughly"" is from c. 1200; that of ""with strong feeling, passionately"" from c. 1400. Of sighing from 1550s; of drinking from 1690s.","deoplice,deep,-ly"
"(dish-cloth_E, dish (n.)_E, cloth_E)",dish-cloth,"also dishcloth, ""cloth for washing dishes,"" 1828, from dish (n.) + cloth. It relegated earlier dish-clout (1520s) to dialect. Dish-rag is by 1839. All have been taken as types of limpness or weakness. Dish-mop, ""bundle of threads or cloth scraps fixed securely on a stick,"" used when the dish-waster is hotter than the hands can bear, is by 1856.","dishcloth,dish,cloth,dish-clout,Dish-rag,Dish-mop,"
"(disintegrate_E, dis-_LE, integrate (v.)_E)",disintegrate,"1796, transitive, ""separate into component parts, destroy the cohesion of,"" originally in geology, from dis- ""do the opposite of"" + integrate (v.). Intransitive sense, ""to break apart, separate into its component parts,"" is by 1851. Related: Disintegrated; disintegrating.","dis-,integrate,Disintegrated,disintegrating"
"(dictum_E, dictum_L);(dictum_L, dictus_L);(dictus_L, dicere_L);(dicere_L, *deik-_PIEIEL)",dictum,"""positive statement or assertion,"" often a mere saying but with implied authority, 1660s, from Latin dictum ""thing said (a saying, bon-mot, prophecy, etc.), an order, a command,"" neuter of dictus, past participle of dicere ""to say, speak"" (from PIE root *deik- ""to show,"" also ""pronounce solemnly""). In legal use, a judge's expression of opinion without argument, which is not the formal resolution of a case or determination of the court.","dictum,dictus,dicere,*deik-"
"(deicide_E, deus_L, -cida_L);(-cida_L, caedere_L);(caedere_L, *kae-id-_LPIE)",deicide,"1610s, ""the killing of a god;"" 1650s, ""one who kills a god,"" from stem of Latin deus ""god"" (see Zeus) + -cida ""slayer,"" from caedere ""to kill, to cut down"" (from PIE root *kae-id- ""to strike"").","deus,Zeus,-cida,caedere,*kae-id-"
"(darkener_E, darken (v.)_E)",darkener,"""one who or that which darkens,"" 1610s, agent noun from darken (v.).",darken
"(drawing_E, draw (v.)_E)",drawing,"c. 1300, ""a pulling,"" in various senses, verbal noun from draw (v.). The ""picture-making"" sense is from 1520s; of the picture itself from 1660s. Drawing board is from 1725; used in figurative expression from mid-20c.","draw,Drawing board"
"(diarrheal_E, diarrhea_E, -al (1)_E)",diarrheal,"also diarrhoeal, ""pertaining to or resulting from diarrhea,"" 1650s, from diarrhea + -al (1).","diarrhoeal,diarrhea,-al"
"(decry_E, decrier_F);(decrier_F, des-_F, crier_F);(crier_F, quiritare_F)",decry,"1610s, ""to cry down, speak disparagingly of;"" 1640s, ""clamor against actively and publicly,"" from French decrier (14c.; Old French descrier ""cry out, announce""), from des- ""apart"" (see dis-) + crier ""to cry,"" from Latin quiritare (see cry (v.)). In English, the sense has been colored by the presumption that de- in this word means ""down.""","decrier,descrier,des-,dis-,crier,quiritare,cry,de-"
